manga,total_images,archived,recoverable_broken,lost_broken,live_unarchived,deleted_archived,deleted_lost,total_issues,coverage_pct
fairy-tail,5285,65,11,5169,0,0,40,5220,1.2%
shingeki-no-kyojin,6317,1071,235,5011,0,0,0,5246,17.0%
bleach-2,5808,267,1588,3953,0,0,0,5541,4.6%
gosu,3862,0,0,3862,0,0,0,3862,0.0%
the-last-human,4131,0,384,3453,0,0,294,4131,0.0%
btooom,3827,240,38,3549,0,0,0,3587,6.3%
tokyo-revengers,4172,0,1035,3137,0,0,0,4172,0.0%
diamond-no-ace-act-ii,3439,803,125,2450,0,0,61,2636,23.3%
edens-zero,2631,209,40,2225,0,0,157,2422,7.9%
bleach,3260,694,188,2378,0,0,0,2566,21.3%
dr-stone,2998,771,118,2109,0,0,0,2227,25.7%
area-d-inou-ryouiki,2085,2,0,2083,0,0,0,2083,0.1%
naruto,1888,0,0,1888,0,0,0,1888,0.0%
chi-no-wadachi,2012,0,199,1813,0,0,0,2012,0.0%
ragna-crimson,1991,0,270,1721,0,0,0,1991,0.0%
magi,2134,519,95,1520,0,0,0,1615,24.3%
jujutsu-kaisen,3631,57,2132,1442,0,0,0,3574,1.6%
jojo-no-kimyou-na-bouken-part-8-jojolion,3152,1789,0,1363,0,0,0,1363,56.8%
yakusoku-no-neverland,1760,352,93,1315,0,0,0,1408,20.0%
dragon-ball-super,2115,0,868,1247,0,0,0,2115,0.0%
beelzebub,1214,0,0,1214,0,0,0,1214,0.0%
skip-beat,1116,20,3,1057,0,0,36,1096,1.8%
cant-see-cant-hear-but-love,1044,0,0,1044,0,0,0,1044,0.0%
tomb-raider-king,1040,0,0,917,0,0,123,1040,0.0%
grand-blue,966,0,0,966,0,0,0,966,0.0%
be-blues,1620,0,724,896,0,0,0,1620,0.0%
magi-sinbad-no-bouken,831,12,2,817,0,0,0,819,1.4%
made-in-abyss,986,5,183,798,0,0,0,981,0.5%
one-punch-man,4852,4092,0,760,0,0,0,760,84.3%
conductor,686,0,0,686,0,0,0,686,0.0%
kara-no-kyoukai,942,179,81,682,0,0,0,763,19.0%
unordinary,677,0,0,677,0,0,0,677,0.0%
boku-no-hero-academia,664,0,0,664,0,0,0,664,0.0%
fumetsu-no-anata-e,735,0,84,651,0,0,0,735,0.0%
asadora,686,62,10,614,0,0,0,624,9.0%
lookism,757,0,143,614,0,0,0,757,0.0%
kawaii-nante-kiitenai,612,0,1,611,0,0,0,612,0.0%
trump,661,0,67,594,0,0,0,661,0.0%
oni-no-you-na-rabucome,592,0,0,592,0,0,0,592,0.0%
yuru_camp,700,0,147,553,0,0,0,700,0.0%
code-geass-shikkoku-no-renya,508,0,0,508,0,0,0,508,0.0%
the-death-mage-who-doesnt-want-a-fourth-time,507,0,2,505,0,0,0,507,0.0%
shishunki-renaissance-david-kun,490,0,0,476,0,0,14,490,0.0%
terra-formars-v1,575,0,93,482,0,0,0,575,0.0%
this-man,595,0,113,464,0,0,18,595,0.0%
fairy-tail-100-years-quest,1437,835,147,326,0,0,129,602,58.1%
bakemonogatari,612,0,161,451,0,0,0,612,0.0%
kingdom,11787,11018,332,437,0,0,0,769,93.5%
kakkou-no-iinazuke,477,0,41,436,0,0,0,477,0.0%
sakamoto-desu-ga,847,0,413,434,0,0,0,847,0.0%
blue-period,424,0,1,423,0,0,0,424,0.0%
ne0lation,414,0,0,369,0,0,45,414,0.0%
mob-psycho-100,528,0,131,397,0,0,0,528,0.0%
fto,378,0,2,348,0,0,28,378,0.0%
samurai-8,451,66,9,337,0,0,39,385,14.6%
shin-honkaku-mahou-shoujo-risuka,373,0,0,373,0,0,0,373,0.0%
i-had-that-same-dream-again,361,0,0,361,0,0,0,361,0.0%
blue-giant,429,0,74,355,0,0,0,429,0.0%
kuroko-no-basket-extra-game,354,0,0,354,0,0,0,354,0.0%
shingeki-no-kyojin-gaiden-kuinaki-sentaku,340,0,4,336,0,0,0,340,0.0%
kaijuno8,2855,2508,15,332,0,0,0,347,87.8%
tenkaichi,592,0,262,330,0,0,0,592,0.0%
abyss-rage,327,0,0,327,0,0,0,327,0.0%
i-am-a-ahero,2593,2277,0,316,0,0,0,316,87.8%
jojo-no-kimyou-na-bouken-part-4-daiyamondo-wa-kudakenai,377,0,61,316,0,0,0,377,0.0%
kurogane-no-valhallian,1150,0,838,312,0,0,0,1150,0.0%
black-clover,298,12,3,283,0,0,0,286,4.0%
hitman,283,0,0,283,0,0,0,283,0.0%
neru-way-of-the-martial-artist,393,0,110,283,0,0,0,393,0.0%
black-clover-2,477,0,204,273,0,0,0,477,0.0%
fairy-tail-zero,266,0,0,266,0,0,0,266,0.0%
rno-t,283,0,22,261,0,0,0,283,0.0%
owari-no-seraph,258,0,0,258,0,0,0,258,0.0%
tokyo-shinobi-squad,250,0,0,250,0,0,0,250,0.0%
3-gatsu-no-lion,306,0,65,241,0,0,0,306,0.0%
eizen-karukaya-kaiitan,337,0,96,241,0,0,0,337,0.0%
itsuwari-no-freja,237,0,1,236,0,0,0,237,0.0%
mr-villains-day-off,355,0,125,230,0,0,0,355,0.0%
teito-seihai-kitan-fate-type-redline,232,0,3,229,0,0,0,232,0.0%
omniscient-readers-viewpoint,248,0,24,224,0,0,0,248,0.0%
takopii-no-genzai,405,7,188,210,0,0,0,398,1.7%
choujin-x,292,0,88,204,0,0,0,292,0.0%
terra-formars-v2,348,0,144,204,0,0,0,348,0.0%
naruto-gaiden-nanadaime-hokage-to-akairo-no-hanatsuzuki,199,0,0,199,0,0,0,199,0.0%
terra-formars-gaiden-keiji-onizuka,199,0,0,199,0,0,0,199,0.0%
unmei-no-hito-ni-deau-hanashi,350,0,154,196,0,0,0,350,0.0%
beelzebub-bangai-hen,189,0,0,189,0,0,0,189,0.0%
ginga-tetsudou-no-yoru,189,0,0,189,0,0,0,189,0.0%
ayakashi-triangle,187,0,0,187,0,0,0,187,0.0%
king-of-the-octagon,309,0,134,175,0,0,0,309,0.0%
zombie-powder,157,0,2,155,0,0,0,157,0.0%
one-piece,9204,9008,45,151,0,0,0,196,97.9%
sousou-no-frieren,170,0,20,150,0,0,0,170,0.0%
kimetsu-no-yaiba,1433,37,1258,137,1,0,0,1395,2.6%
